	EWsiteHyd_index	Sample	MG_name	Index	Location	Pl_Sp	EWcoastGroup	SALTgroup	LU	Depth	EW.no	iTag_name.x	Site_indx	Salinity.x	Bulk_dens	H2O_FPS	CO2_mg_m2_h	CO2_soilC_mg_g_d	CH4_ug_m2_h	CH4_CO2	CH4_soilC_ug_g_d	pH	Cl	SO4	Corg_LOI	C	N	P	NO3_N	NH4_N	Olsen_P	CN	CP	NP	NP_ext	NO3_NH4	C_g_m2	N_g_m2	P_g_m2	Fe	Mn	Cu	Zn	Salinity.y	CO2_mg_m2_h	CH4_ug_m2_h	Cl_pw	SO4_pw	DOC_mg_L	NO2_pw	NO3_pw	NH3_pw	PO4_pw	Fe_pw	Mn_pw	Co_pw	Cu_pw	Zn_pw	Ca_pw	Sr_pw	Mg_pw	Na_pw	K_pw	Al_pw	Si_pw	Br_pw	F_pw
79	80	RushSE_TuleC_D2	RushSE_TuleC_D2	129	RushRanch	Tule	SF_Rest	Meso	Ref	d2	129	s129_RushSE_TuleC_D2	79	7.180456676	0.362801431	72.01879146	6.161317625	0.047587017	26.11238599	0.423811717	0.201679353	6.83	210.45	570.7	5.71	5.07	0.397	0.084	0.36	12.16	24.4	16.77303152	175.2971879	10.45113328	329.9435656	0.029605263	3107.394254	216.048252	45.71298026	40220	774	52	140	7.18	6.161317625	26.11238599	3413.2325	318.9515	18.71	NA	0.2165	0.025333333	NA	19.56	4829.86	2.84	19.84	15.13	146034.22	2195.76	213406.24	1587197.8	46547.33	19.51	12212.34	11.277	0.6125
80	81	RushSE_CattailNLA_D1	RushSE_CattailNLA_D1	45	RushRanch	CattailNL	SF_Rest	Meso	Ref	d1	45	s045_RushSE_CattailNLA_D1	80	6.488424734	0.360800654	79.5611698	2.031548092	0.011461916	4.844556408	0.238466243	0.027332801	7.09	183.63	624.7	7.86	7.29	0.566	0.104	0.24	30.9	34.9	16.19466902	194.8979781	12.03469968	662.82654	0.00776699	4253.839707	306.319755	56.28490198	45980	809	53	138	6.49	2.031548092	4.844556408	2985.1525	148.5035	16.98	NA	1.1505	0.051333333	NA	31.19	7636	1.51	15.54	12.47	132137.2	1981.69	192358.27	1388465.8	40667.76	19.82	21261.89	9.8605	0.5145
81	82	RushSE_CattailNLA_D2	RushSE_CattailNLA_D2	130	RushRanch	CattailNL	SF_Rest	Meso	Ref	d2	130	s130_RushSE_CattailNLA_D2	81	6.488424734	0.3931802	76.32321521	2.031548092	0.012284016	4.844556408	0.238466243	0.029293232	6.88	170.3	632	6.73	6.04	0.432	0.07	0.21	15.03	14.2	18.16758828	247.9334658	13.64702139	481.949515	0.013972056	3969.154115	254.7807693	41.28392096	45980	809	53	138	6.49	2.031548092	4.844556408	2985.1525	148.5035	16.98	NA	1.1505	0.051333333	NA	31.19	7636	1.51	15.54	12.47	132137.2	1981.69	192358.27	1388465.8	40667.76	19.82	21261.89	9.8605	0.5145
82	83	RushSE_CattailNLB_D1	RushSE_CattailNLB_D1	46	RushRanch	CattailNL	SF_Rest	Meso	Ref	d1	46	s046_RushSE_CattailNLB_D1	82	7.4866462	0.378275329	79.6492774	2.406824212	0.014358534	2.823401205	0.11730816	0.016843732	7.02	200.33	841.9	7.09	6.67	0.524	0.081	0.17	14.43	15.3	15.77905209	225.7248345	14.30534821	399.0087848	0.011781012	4022.958127	297.3244088	45.96045251	45910	855	52	136	7.49	2.406824212	2.823401205	2950.139	269.369	17.78	0.421	0.5535	0.009833333	0.9605	23.59	6301.25	1.37	17.4	20.83	125532.96	1862.54	184637.59	1434498.8	41970.3	23.94	15102.86	9.5885	0.445
83	84	RushSE_CattailNLB_D2	RushSE_CattailNLB_D2	131	RushRanch	CattailNL	SF_Rest	Meso	Ref	d2	131	s131_RushSE_CattailNLB_D2	83	7.4866462	0.381799634	79.29684697	2.406824212	0.014575476	2.823401205	0.11730816	0.017098223	6.85	190.52	758.2	6.92	6.23	0.438	0.068	0.305	22.97	16.7	18.42459481	262.4311048	14.2435211	757.9044118	0.013278189	3963.080197	250.8423593	38.94356262	45910	855	52	136	7.49	2.406824212	2.823401205	2950.139	269.369	17.78	0.421	0.5535	0.009833333	0.9605	23.59	6301.25	1.37	17.4	20.83	125532.96	1862.54	184637.59	1434498.8	41970.3	23.94	15102.86	9.5885	0.445
84	85	RushSE_CattailNLC_D1	RushSE_CattailNLC_D1	47	RushRanch	CattailNL	SF_Rest	Meso	Ref	d1	47	s047_RushSE_CattailNLC_D1	84	7.406254334	0.350521433	78.75351673	1.059730791	0.007051424	1.059207735	0.099950643	0.007047944	6.99	198.08	579.6	6.86	6.51	0.551	0.127	0.15	25.42	18.2	14.51905928	139.2959603	9.594007271	445.6989672	0.005900865	3606.865544	289.7059642	66.77433295	42870	819	52	144	7.41	1.059730791	1.059207735	2869.2955	314.309	13.01	NA	0.3895	0.007166667	NA	21.86	918.46	0.54	16.49	24.09	108370.78	1292.32	161250.03	1360110.13	36362.68	17.67	10573.31	8.9455	0.5715
85	86	RushSE_CattailNLC_D2	RushSE_CattailNLC_D2	132	RushRanch	CattailNL	SF_Rest	Meso	Ref	d2	132	s132_RushSE_CattailNLC_D2	85	7.406254334	0.416528716	72.15278845	1.059730791	0.006544556	1.059207735	0.099950643	0.006541326	6.73	173.77	372.9	6.22	5.55	0.436	0.088	0.37	17.21	18.3	16.63680235	182.2744681	10.95609987	442.2326661	0.021499128	3886.212917	272.40978	54.98179046	42870	819	52	144	7.41	1.059730791	1.059207735	2869.2955	314.309	13.01	NA	0.3895	0.007166667	NA	21.86	918.46	0.54	16.49	24.09	108370.78	1292.32	161250.03	1360110.13	36362.68	17.67	10573.31	8.9455	0.5715
86	87	RushMan_CattailNLA_D1	NA	37	RushRanch	CattailNL	SF_Rest	Meso	Restored	d1	37	s037_RushMan_CattailNLA_D1	86	8.155155217	0.265093765	79.95398288	5.134738102	0.029515454	29.40738992	0.572714505	0.169039286	6.2	286.54	676.9	10.5	10.51	0.751	0.123	0.32	23.03	36.8	16.30479428	220.1416994	13.50165452	420.2390384	0.01389492	4175.226796	298.6281261	48.90979961	40570	417	53	102	8.16	5.134738102	29.40738992	1898.716	424.22	10.64	2.098	NA	NA	NA	24.76	634.84	3.17	11.85	36.7	77463.11	796.26	109434.21	1017459.48	29406.96	18.56	10213.22	5.618	0.212
87	88	RushMan_CattailNLA_D2	RushMan_CattailNLA_D2	121	RushRanch	CattailNL	SF_Rest	Meso	Restored	d2	121	s121_RushMan_CattailNLA_D2	87	8.155155217	0.207603551	85.70300429	5.134738102	0.024412963	29.40738992	0.572714505	0.139816579	6.27	236.74	629.6	16.21	15.5	0.848	0.07	0.71	45.93	9	22.29220993	597.1770401	26.78859754	1474.94261	0.015458306	5047.880337	264.0717166	21.79837283	40570	417	53	102	8.16	5.134738102	29.40738992	1898.716	424.22	10.64	2.098	NA	NA	NA	24.76	634.84	3.17	11.85	36.7	77463.11	796.26	109434.21	1017459.48	29406.96	18.56	10213.22	5.618	0.212
88	89	RushMan_CattailNLB_D1	NA	38	RushRanch	CattailNL	SF_Rest	Meso	Restored	d1	38	s038_RushMan_CattailNLB_D1	88	7.731226222	0.233852276	95.92715794	2.591502904	0.01342231	24.63178651	0.95048269	0.127576733	6.3	239.15	770.7	13.21	13.22	0.838	0.06	0.78	38.61	10	18.38335444	567.7664086	30.88480998	1453.280181	0.02020202	4633.78284	293.9523104	21.0467048	28650	270	48	80	7.73	2.591502904	24.63178651	3371.94	444.71	17.77	1.238	NA	3.834666667	NA	44.13	623.05	1.17	18.58	25.84	110713.13	1450.55	199451.38	1713573.29	54383.25	31.94	15192.38	9.732	0.378
89	90	RushMan_CattailNLB_D2	RushMan_CattailNLB_D2	122	RushRanch	CattailNL	SF_Rest	Meso	Restored	d2	122	s122_RushMan_CattailNLB_D2	89	7.731226222	0.336460927	85.66629278	2.591502904	0.008642065	24.63178651	0.95048269	0.08214133	6.44	206.7	434.2	14.26	13.9	0.866	0.058	0.29	32.92	11.5	19.20293426	634.029783	33.01733862	1267.52199	0.008809235	7196.89923	437.0627443	29.27210066	28650	270	48	80	7.73	2.591502904	24.63178651	3371.94	444.71	17.77	1.238	NA	3.834666667	NA	44.13	623.05	1.17	18.58	25.84	110713.13	1450.55	199451.38	1713573.29	54383.25	31.94	15192.38	9.732	0.378
90	91	RushMan_CattailNLC_D1	RushMan_CattailNLC_D1	39	RushRanch	CattailNL	SF_Rest	Meso	Restored	d1	39	s039_RushMan_CattailNLC_D1	90	8.391195087	0.279594809	89.51732947	1.501278568	0.009389254	6.984720829	0.465251485	0.043683642	6.36	262.17	836.6	9.15	8.7	0.653	0.077	0.34	36.53	22.4	16.34082107	306.4421466	18.75316702	1059.978443	0.009307419	3837.438748	273.863115	32.29320039	44950	437	63	114	8.39	1.501278568	6.984720829	3136.694	395.166	21.41	2.252	NA	4.550666667	NA	239.08	723.68	0.95	16.73	20.19	111180.37	1372.5	191270.71	1586049.41	50598.08	23.69	14675.03	9.402	0.394
91	92	RushMan_CattailNLC_D2	RushMan_CattailNLC_D2	123	RushRanch	CattailNL	SF_Rest	Meso	Restored	d2	123	s123_RushMan_CattailNLC_D2	91	8.391195087	0.251400374	92.33677292	1.501278568	0.008243885	6.984720829	0.465251485	0.038354796	6.6	233.85	629.3	11.59	10.56	0.606	0.061	0.71	32.34	9.8	22.30369274	489.9725252	21.96822432	1199.378472	0.021954236	4370.595504	228.5229401	23.00313423	44950	437	63	114	8.39	1.501278568	6.984720829	3136.694	395.166	21.41	2.252	NA	4.550666667	NA	239.08	723.68	0.95	16.73	20.19	111180.37	1372.5	191270.71	1586049.41	50598.08	23.69	14675.03	9.402	0.394
92	93	RushMan_ThreeSqA_D1	RushMan_ThreeSqA_D1	40	RushRanch	ThreeSq	SF_Rest	Meso	Restored	d1	40	s040_RushMan_ThreeSqA_D1	92	10.69236377	0.326108283	83.03040685	3.337470381	0.016180616	2.189804575	0.065612704	0.01061654	6.58	226.06	415.9	10.12	10.41	0.776	0.162	0.42	30.15	32.2	15.20844295	161.0955801	10.59250974	417.7294025	0.013930348	4950.323739	379.5900416	79.24431281	44060	2561	52	124	10.69	3.337470381	2.189804575	3848.8905	554.447	14.83	NA	1.004	NA	NA	26.09	12.15	0.49	23.44	52.35	129093.71	2092.92	227325.69	1909814.27	48827.3	20.39	6526.29	12.5315	0.399
93	94	RushMan_ThreeSqA_D2	RushMan_ThreeSqA_D2	124	RushRanch	ThreeSq	SF_Rest	Meso	Restored	d2	124	s124_RushMan_ThreeSqA_D2	93	10.69236377	0.348080118	80.83322338	3.337470381	0.013636586	2.189804575	0.065612704	0.008947333	6.17	233.56	591.7	11.25	10.66	0.677	0.16	0.31	21.19	25.3	19.37893096	181.3220694	9.356660063	297.4630988	0.014629542	5873.851989	353.4753597	83.53922829	44060	2561	52	124	10.69	3.337470381	2.189804575	3848.8905	554.447	14.83	NA	1.004	NA	NA	26.09	12.15	0.49	23.44	52.35	129093.71	2092.92	227325.69	1909814.27	48827.3	20.39	6526.29	12.5315	0.399
94	95	RushMan_ThreeSqB_D1	RushMan_ThreeSqB_D1	40.5	RushRanch	ThreeSq	SF_Rest	Meso	Restored	d1	40.5	NA	94	11.50069077	0.321519345	74.31142484	7.0597391	0.037494014	3.234016645	0.045809294	0.017175743	6.64	254.49	657.2	9.37	9.24	0.706	0.153	0.49	30.47	18.2	15.47750138	157.9306007	10.20388219	447.9444311	0.016081392	4518.954398	340.4889866	73.78868974	50520	1224	56	126	11.5	7.0597391	3.234016645	2369.507	544.8385	10.11	NA	1.4985	NA	NA	12.69	4.55	0.26	15.29	36.51	86651.63	942.2	131843.52	1283900.32	30529.71	16.61	4503.5	7.021	0.374
95	96	RushMan_ThreeSqB_D2	RushMan_ThreeSqB_D2	125	RushRanch	ThreeSq	SF_Rest	Meso	Restored	d2	125	s125_RushMan_ThreeSqB_D2	95	11.50069077	0.294903505	76.97300882	7.0597391	0.040790883	3.234016645	0.045809294	0.018686016	6.04	304.91	940.6	9.39	8.85	0.586	0.134	0.35	15.71	7.4	18.68675699	180.7086415	9.670412129	265.3110651	0.022278803	4153.715874	259.2201813	59.27560459	50520	1224	56	126	11.5	7.0597391	3.234016645	2369.507	544.8385	10.11	NA	1.4985	NA	NA	12.69	4.55	0.26	15.29	36.51	86651.63	942.2	131843.52	1283900.32	30529.71	16.61	4503.5	7.021	0.374
96	97	RushMan_ThreeSqC_D1	NA	41	RushRanch	ThreeSq	SF_Rest	Meso	Restored	d1	41	s041_RushMan_ThreeSqC_D1	96	11.68654142	0.272252508	60.88235695	5.404055729	0.043386721	2.293964275	0.042448938	0.018417202	6.52	281.12	513.1	7.32	7.11	0.59	0.156	0.28	15.57	36.6	14.46855072	121.0053605	8.363336647	224.9154498	0.017983301	2989.332537	240.9434695	63.70708686	48830	2093	57	137	11.69	5.404055729	2.293964275	3580.044	567.198	13.22	1.69	NA	0.618666667	NA	13.27	189.38	0.89	21.42	84.91	119685.61	1526.62	206931.57	1885203.29	42105.33	24.57	4903.43	10.286	0.268
97	98	RushMan_ThreeSqC_D2	RushMan_ThreeSqC_D2	126	RushRanch	ThreeSq	SF_Rest	Meso	Restored	d2	126	s126_RushMan_ThreeSqC_D2	97	11.68654142	0.267847128	61.32289499	5.404055729	0.035788729	2.293964275	0.042448938	0.015191935	6.18	282.09	703.3	9.02	8.02	0.551	0.144	0.27	14.08	34.7	19.09065812	161.5333398	8.461381412	220.599249	0.019176136	3623.971636	221.3756509	57.85497955	48830	2093	57	137	11.69	5.404055729	2.293964275	3580.044	567.198	13.22	1.69	NA	0.618666667	NA	13.27	189.38	0.89	21.42	84.91	119685.61	1526.62	206931.57	1885203.29	42105.33	24.57	4903.43	10.286	0.268
98	99	RushOxbow_ThreeSqA_D1	RushOxbow_ThreeSqA_D1	48	RushRanch	ThreeSq	SF_Rest	Meso	Ref	d1	48	s048_RushOxbow_ThreeSqA_D1	98	10.88056066	0.338333214	83.64348896	7.306342427	0.037073147	4.060652814	0.055577094	0.020604178	6.6	301.43	615.9	9.32	9.06	0.798	0.135	0.14	16.66	21	13.62005881	178.0329019	13.07137542	275.4800378	0.008403361	4729.898328	404.9848569	68.51247579	40150	529	51	135	10.88	7.306342427	4.060652814	5999.156	722.472	22.81	2.45	NA	0.056333333	NA	89.69	7846.38	1.92	38.76	56.26	206356.25	3328.1	386650.14	2972442.74	87374.56	17.29	13887.69	18.424	0.576
99	100	RushOxbow_ThreeSqA_D2	RushOxbow_ThreeSqA_D2	133	RushRanch	ThreeSq	SF_Rest	Meso	Ref	d2	133	s133_RushOxbow_ThreeSqA_D2	99	10.88056066	0.444062343	73.07057603	7.306342427	0.034822044	4.060652814	0.055577094	0.01935308	6.37	238.47	527.8	7.56	6.73	0.505	0.095	0.19	28.57	11.2	17.45807597	205.2184094	11.75492705	670.162152	0.006650333	5035.66697	336.3772249	63.27888389	40150	529	51	135	10.88	7.306342427	4.060652814	5999.156	722.472	22.81	2.45	NA	0.056333333	NA	89.69	7846.38	1.92	38.76	56.26	206356.25	3328.1	386650.14	2972442.74	87374.56	17.29	13887.69	18.424	0.576
100	101	RushOxbow_ThreeSqB_D1	RushOxbow_ThreeSqB_D1	49	RushRanch	ThreeSq	SF_Rest	Meso	Ref	d1	49	s049_RushOxbow_ThreeSqB_D1	100	10.64716148	0.315241678	82.28149219	4.517782461	0.019682295	3.472929527	0.076872438	0.01513026	6.61	257.65	512.3	11.65	11.45	0.893	0.139	0.19	27.01	16.8	15.21389547	216.1370662	14.20655654	433.1803266	0.007034432	5508.848327	422.266228	65.72788991	44260	754	51	141	10.65	4.517782461	3.472929527	3822.2305	593.163	12.45	4.0915	0.578	0.133666667	NA	14.45	105.51	0.54	23.87	47.44	138386.95	2314.4	247285.63	1923049.91	59576.53	16.71	15952.45	13.1615	0.4185
101	102	RushOxbow_ThreeSqB_D2	RushOxbow_ThreeSqB_D2	134	RushRanch	ThreeSq	SF_Rest	Meso	Ref	d2	134	s134_RushOxbow_ThreeSqB_D2	101	10.64716148	0.433599565	70.44570355	4.517782461	0.021538502	3.472929527	0.076872438	0.016557172	6.29	213.05	443.2	7.74	6.71	0.566	0.11	0.173333333	28.58	7.8	15.94742217	181.4539399	11.37826152	578.8008658	0.006064847	5034.090945	368.1260304	71.54392816	44260	754	51	141	10.65	4.517782461	3.472929527	3822.2305	593.163	12.45	4.0915	0.578	0.133666667	NA	14.45	105.51	0.54	23.87	47.44	138386.95	2314.4	247285.63	1923049.91	59576.53	16.71	15952.45	13.1615	0.4185
102	103	RushOxbow_ThreeSqC_D1	RushOxbow_ThreeSqC_D1	50	RushRanch	ThreeSq	SF_Rest	Meso	Ref	d1	50	s050_RushOxbow_ThreeSqC_D1	102	11.39901378	0.350392943	80.60194091	1.440165377	0.007018389	-0.025984287	-0.001804257	-0.00012663	6.86	268.03	507	9.37	8.73	0.781	0.14	0.173333333	42.25	13.3	13.99118563	172.595585	12.3360228	670.9812925	0.004102564	4924.772808	410.4853322	73.58251794	48560	1912	48	139	11.4	1.440165377	-0.025984287	4101.8545	571.8495	22.46	NA	0.856	0.028	NA	54.17	87.02	0.87	21.41	29.8	130227.8	2116.04	240175.85	1900576.33	59206.06	20.55	15423	14.1565	0.558
103	104	RushOxbow_ThreeSqC_D2	RushOxbow_ThreeSqC_D2	135	RushRanch	ThreeSq	SF_Rest	Meso	Ref	d2	135	s135_RushOxbow_ThreeSqC_D2	103	11.39901378	0.409369973	74.70423792	1.440165377	0.007475175	-0.025984287	-0.001804257	-0.000134871	6.57	231.25	451.3	7.53	6.52	0.56	0.121	0.173333333	31.34	17.7	15.68096953	160.4825191	10.23422173	576.6902794	0.005530738	4623.833839	343.8707769	74.30065001	48560	1912	48	139	11.4	1.440165377	-0.025984287	4101.8545	571.8495	22.46	NA	0.856	0.028	NA	54.17	87.02	0.87	21.41	29.8	130227.8	2116.04	240175.85	1900576.33	59206.06	20.55	15423	14.1565	0.558
104	105	Joice_CattailNLA_D1	Joice_CattailNLA_D1	51	Joice	CattailNL	SF_Ref	Meso	Ref	d1	51	s051_Joice_CattailNLA_D1	104	15.22993672	0.124727332	70.12814904	22.39568711	0.146577284	10.45521409	0.046684051	0.068428215	6.93	355.59	637.5	19.6	19.19	1.368	0.14	1.445	158.57	22.9	16.70844124	361.032387	21.60778386	2530.84949	0.009112695	3666.983567	255.9404857	26.19273977	21930	384	31	59	15.23	22.39568711	10.45521409	3860.8835	420.184	36.95	NA	NA	1.179666667	NA	224.91	2960.88	0.8	20.22	19.89	142634.91	2230.46	234300.34	1848404.28	38374.1	19.11	17517	12.256	0.57
105	106	Joice_CattailNLA_D2	Joice_CattailNLA_D2	136	Joice	CattailNL	SF_Ref	Meso	Ref	d2	136	s136_Joice_CattailNLA_D2	105	15.22993672	0.148681588	67.73272346	22.39568711	0.094996306	10.45521409	0.046684051	0.044348124	6.53	339.57	788.5	25.37	23.73	1.262	0.07	0.74	53.72	7.8	23.4437496	934.6318018	39.86699303	1722.242165	0.01377513	5658.077834	281.4542462	15.61156675	21930	384	31	59	15.23	22.39568711	10.45521409	3860.8835	420.184	36.95	NA	NA	1.179666667	NA	224.91	2960.88	0.8	20.22	19.89	142634.91	2230.46	234300.34	1848404.28	38374.1	19.11	17517	12.256	0.57
106	107	Joice_CattailNLB_D1	Joice_CattailNLB_D1	52	Joice	CattailNL	SF_Ref	Meso	Ref	d1	52	s052_Joice_CattailNLB_D1	106	13.63677096	0.115641235	65.53003326	16.45414224	0.11851004	18.55246027	0.112752522	0.133623058	7.11	296.92	485.9	19.21	18.42	1.361	0.133	1.87	122.86	26.7	16.46020354	372.4721887	22.62865023	2076.031324	0.015220576	3332.202191	236.0815816	23.07042642	21250	369	31	61	13.64	16.45414224	18.55246027	6565.8375	339.7945	89.31	NA	NA	1.129333333	NA	144.68	1479.19	1.9	41.82	21.18	194368.71	3515.26	427702.91	3843580.62	77963.13	22.22	20649.98	23.9475	0.5195
107	108	Joice_CattailNLB_D2	Joice_CattailNLB_D2	137	Joice	CattailNL	SF_Ref	Meso	Ref	d2	137	s137_Joice_CattailNLB_D2	107	13.63677096	0.134914774	63.60267934	16.45414224	0.07229909	18.55246027	0.112752522	0.081519048	6.57	261.58	580	26.99	23.89	1.35	0.078	0.38	65.2	17.9	23.31498164	892.3318795	38.27289652	1861.193085	0.005828221	5462.02464	273.2024181	15.7850286	21250	369	31	61	13.64	16.45414224	18.55246027	6565.8375	339.7945	89.31	NA	NA	1.129333333	NA	144.68	1479.19	1.9	41.82	21.18	194368.71	3515.26	427702.91	3843580.62	77963.13	22.22	20649.98	23.9475	0.5195
108	109	Joice_CattailNLC_D1	Joice_CattailNLC_D1	53	Joice	CattailNL	SF_Ref	Meso	Ref	d1	53	s053_Joice_CattailNLC_D1	108	14.36576782	0.134015343	76.54164866	11.47645856	0.069977862	35.03068455	0.305239498	0.213600074	6.7	357.85	656.1	19.58	19.53	1.42	0.109	1.02	37.87	14.6	16.08015774	463.2381479	28.80805993	789.8162518	0.026934249	3936.03061	285.4526796	21.9115085	21970	436	34	70	14.37	11.47645856	35.03068455	4497.852	527.93	38.1	0.136	NA	4.883333333	NA	205.69	4742.74	0.92	45.61	34.38	140893.57	3275.52	267456.08	2596609.45	53123.81	28.6	13535.28	13.446	0.454
109	110	Joice_CattailNLC_D2	Joice_CattailNLC_D2	138	Joice	CattailNL	SF_Ref	Meso	Ref	d2	138	s138_Joice_CattailNLC_D2	109	14.36576782	0.165495457	73.39363725	11.47645856	0.041170205	35.03068455	0.305239498	0.125667728	6.45	267.07	681.7	26.95	24.01	1.269	0.08	0.86	42.23	16.3	24.7664129	868.7341812	35.07710966	1192.342784	0.02036467	6690.153831	315.0206016	19.85945479	21970	436	34	70	14.37	11.47645856	35.03068455	4497.852	527.93	38.1	0.136	NA	4.883333333	NA	205.69	4742.74	0.92	45.61	34.38	140893.57	3275.52	267456.08	2596609.45	53123.81	28.6	13535.28	13.446	0.454
110	111	Joice_ThreeSqA_D1	Joice_ThreeSqA_D1	54	Joice	ThreeSq	SF_Ref	Meso	Ref	d1	54	s054_Joice_ThreeSqA_D1	110	13.82762154	0.138512502	76.09193274	3.772380293	0.017764334	58.03669104	1.538463424	0.27329778	6.53	360.56	624.7	24.53	23.95	1.56	0.127	1.05	42.21	17.6	18.33744868	498.0947386	27.16270661	754.0452608	0.024875622	5096.567499	324.1192539	26.38663157	16730	579	27	53	13.83	3.772380293	58.03669104	4253.4355	489.3505	31.4	NA	NA	6.983333333	5.5505	281.19	25392.28	2.28	27.56	27.76	121421.57	2050.19	215005.48	2103762.43	59025.3	22.2	14472.72	13.2195	0.498
111	112	Joice_ThreeSqA_D2	Joice_ThreeSqA_D2	139	Joice	ThreeSq	SF_Ref	Meso	Ref	d2	139	s139_Joice_ThreeSqA_D2	111	13.82762154	0.156501138	74.29306908	3.772380293	0.012770591	58.03669104	1.538463424	0.196470876	6.29	230.38	680.8	30.2	21.24	0.992	0.088	2.63	55.41	13.6	35.50268772	884.9982213	24.92764008	1460.02184	0.047464357	7089.501563	232.8736937	20.65815025	16730	579	27	53	13.83	3.772380293	58.03669104	4253.4355	489.3505	31.4	NA	NA	6.983333333	5.5505	281.19	25392.28	2.28	27.56	27.76	121421.57	2050.19	215005.48	2103762.43	59025.3	22.2	14472.72	13.2195	0.498
112	113	Joice_ThreeSqB_D1	Joice_ThreeSqB_D1	55	Joice	ThreeSq	SF_Ref	Meso	Ref	d1	55	s055_Joice_ThreeSqB_D1	112	12.46367242	0.131317047	76.81147821	6.545249008	0.036920817	0.53288824	0.008141604	0.003005947	6.78	325.35	569.9	21.6	21.02	1.49	0.123	2.21	100.24	20.7	16.90571115	452.8629244	26.78757021	1843.832526	0.022047087	4254.672324	293.4936002	24.22799518	15340	463	30	56	12.46	6.545249008	0.53288824	5187.495	646.0055	29.84	1.947	6.648	0.012666667	NA	54.58	10788.92	1.32	36	32.11	149080.46	2563.81	292968.26	3243472.76	79409.83	22.55	17927.59	17.0945	0.507
113	114	Joice_ThreeSqB_D2	NA	140	Joice	ThreeSq	SF_Ref	Meso	Ref	d2	140	s140_Joice_ThreeSqB_D2	113	12.46367242	0.149305684	75.01261455	6.545249008	0.023736262	0.53288824	0.008141604	0.001932512	6.48	274	922.5	29.55	26.98	1.443	0.109	1.52	89.43	13.9	23.88125334	699.1157952	29.27466935	1847.101777	0.016996534	6617.974427	323.1721522	24.41147927	15340	463	30	56	12.46	6.545249008	0.53288824	5187.495	646.0055	29.84	1.947	6.648	0.012666667	NA	54.58	10788.92	1.32	36	32.11	149080.46	2563.81	292968.26	3243472.76	79409.83	22.55	17927.59	17.0945	0.507
114	115	Joice_ThreeSqC_D1	Joice_ThreeSqC_D1	56	Joice	ThreeSq	SF_Ref	Meso	Ref	d1	56	s056_Joice_ThreeSqC_D1	114	12.24863626	0.138549213	79.75941191	6.343291229	0.033012109	1.802217626	0.028411397	0.009379201	6.62	384.48	645.9	22.19	21.4	1.562	0.123	4.8	66.9	20.5	16.56693752	465.2327914	28.08200313	1290.412808	0.071748879	4611.610561	324.6208065	25.56232983	18180	342	29	59	12.25	6.343291229	1.802217626	3076.63	586.422	18.97	6.1635	0.1005	0.347	NA	221.55	6256.95	0.82	20.24	31.13	86173.05	1029.88	142378.24	1662642.8	39992.85	20.09	13122.9	8.7715	0.4245
115	116	Joice_ThreeSqC_D2	Joice_ThreeSqC_D2	141	Joice	ThreeSq	SF_Ref	Meso	Ref	d2	141	s141_Joice_ThreeSqC_D2	115	12.24863626	0.153527507	78.26158258	6.343291229	0.022378859	1.802217626	0.028411397	0.006358146	6.31	299.13	657.3	29.54	26.7	1.336	0.081	2.16	77.81	15.4	25.78516973	940.4670821	36.47317787	2185.529625	0.027759928	6802.803813	307.669123	18.65359204	18180	342	29	59	12.25	6.343291229	1.802217626	3076.63	586.422	18.97	6.1635	0.1005	0.347	NA	221.55	6256.95	0.82	20.24	31.13	86173.05	1029.88	142378.24	1662642.8	39992.85	20.09	13122.9	8.7715	0.4245
116	117	Goodyear_PhragA_D1	NA	57	Goodyear	Phrag	SF_Rest	Poly	Restored	d1	57	s057_Goodyear_PhragA_D1	116	16	0.292957796	99.19448172	3.233598468	0.011900552	0.205479239	0.006354507	0.000756221	5.73	499.83	1449.2	14.84	13.48	0.956	0.21	0.15	5.58	30.9	18.10264231	182.2353953	10.06678429	60.41836735	0.02688172	6521.240534	420.1014791	92.28170567	40260	326	63	119	15.97	3.233598468	0.205479239	4987.896	1042.029	6.802	0.3055	NA	2.876666667	NA	10.26	56.6	0.35	37.61	51.43	119521.87	2220.28	243561.72	2763381.87	74826.34	15.5	11017.22	15.167	NA
117	118	Goodyear_PhragA_D2	Goodyear_PhragA_D2	142	Goodyear	Phrag	SF_Rest	Poly	Restored	d2	142	s142_Goodyear_PhragA_D2	117	16	0.579491078	70.54115345	3.233598468	0.015858092	0.205479239	0.006354507	0.001007704	6.21	345.35	889.1	5.63	4.89	0.358	0.098	0.14	4.29	17.8	18.33966211	148.1495874	8.078097977	100.0673206	0.032634033	4893.802158	311.1867091	85.18518853	40260	326	63	119	15.97	3.233598468	0.205479239	4987.896	1042.029	6.802	0.3055	NA	2.876666667	NA	10.26	56.6	0.35	37.61	51.43	119521.87	2220.28	243561.72	2763381.87	74826.34	15.5	11017.22	15.167	NA
